district,listing_id,price,rooms,bedrooms,area_sqm,price_per_sqm,district_number,housing_type
Lyon 8,1290063113,599000,5,4,105.0,5704.761904761905,8,T4+
Lyon 8,1290147178,524000,4,3,85.0,6164.705882352941,8,T4+
Lyon 8,1290063082,399000,4,3,80.0,4987.5,8,T4+
Lyon 8,1290063070,665000,4,3,90.0,7388.888888888889,8,T4+
Lyon 8,1290063069,690000,4,3,90.0,7666.666666666667,8,T4+
Lyon 8,1288514923,522900,4,3,80.0,6536.25,8,T4+
Lyon 8,1287321744,199500,4,3,71.0,2809.8591549295775,8,T4+
Lyon 8,1288573401,168000,4,2,73.0,2301.3698630136987,8,T4+
Lyon 8,1288487211,232000,4,3,84.0,2761.904761904762,8,T4+
Lyon 8,1289671511,254000,3,2,64.0,3968.75,8,T3
Lyon 8,1289654668,99000,1,1,26.0,3807.6923076923076,8,Studio/T1
Lyon 8,1289644963,179000,2,1,49.0,3653.061224489796,8,T2
Lyon 8,1287284156,199000,4,3,67.0,2970.1492537313434,8,T4+
Lyon 8,1287240954,119000,1,1,26.0,4576.923076923077,8,Studio/T1
Lyon 8,1289617815,159000,4,3,69.0,2304.3478260869565,8,T4+
Lyon 8,1289445170,135000,2,1,42.0,3214.285714285714,8,T2
Lyon 8,1288493375,267000,3,2,67.0,3985.0746268656717,8,T3
Lyon 8,1289599161,235000,4,3,67.0,3507.4626865671644,8,T4+
Lyon 8,1289598984,199000,3,2,79.0,2518.987341772152,8,T3
Lyon 8,1289598532,199000,3,2,59.0,3372.8813559322034,8,T3
Lyon 8,1289597992,199000,2,1,30.0,6633.333333333333,8,T2
Lyon 8,1288898448,199000,3,2,79.0,2518.987341772152,8,T3
Lyon 8,1289593931,165000,3,2,56.0,2946.4285714285716,8,T3
Lyon 8,1289587322,212000,3,2,65.0,3261.5384615384614,8,T3
Lyon 8,1289584808,325000,3,2,71.0,4577.4647887323945,8,T3
Lyon 8,1289575983,199000,2,1,54.0,3685.185185185185,8,T2
Lyon 8,1287181909,180000,2,1,40.0,4500.0,8,T2
Lyon 8,1282312455,260000,5,4,107.0,2429.9065420560746,8,T4+
Lyon 8,1288149140,195000,3,2,71.0,2746.478873239437,8,T3
Lyon 8,1289550099,360000,4,3,94.0,3829.7872340425533,8,T4+
Lyon 8,1289518193,255000,3,2,64.0,3984.375,8,T3
Lyon 8,1288393067,319000,3,2,62.0,5145.1612903225805,8,T3
Lyon 8,1289501744,175000,3,2,73.0,2397.2602739726026,8,T3
Lyon 8,1288587845,275000,4,3,95.0,2894.7368421052633,8,T4+
Lyon 8,1289473295,665000,4,3,110.0,6045.454545454545,8,T4+
Lyon 8,1289464977,199000,4,4,66.0,3015.151515151515,8,T4+
Lyon 8,1289148423,298000,4,3,71.0,4197.183098591549,8,T4+
Lyon 8,1289027388,277000,3,2,65.0,4261.538461538462,8,T3
Lyon 8,1285394049,130000,1,1,32.0,4062.5,8,Studio/T1
Lyon 8,1289392336,131000,1,1,25.0,5240.0,8,Studio/T1
Lyon 8,1289385883,290000,3,2,73.0,3972.6027397260273,8,T3
Lyon 8,1289925766,199990,3,2,58.0,3448.103448275862,8,T3
Lyon 8,1289365954,220000,3,2,72.0,3055.5555555555557,8,T3
Lyon 8,1286058731,225000,3,2,75.0,3000.0,8,T3
Lyon 8,1289329514,179000,3,2,60.0,2983.3333333333335,8,T3
Lyon 8,1284827780,171500,2,1,41.0,4182.926829268293,8,T2
Lyon 8,1286658793,124000,1,1,48.0,2583.3333333333335,8,Studio/T1
Lyon 8,1287222197,160000,3,1,62.0,2580.6451612903224,8,T3
Lyon 8,1283168451,226000,4,3,79.0,2860.759493670886,8,T4+
Lyon 8,1288041475,445000,5,4,99.0,4494.949494949495,8,T4+
Lyon 8,1286921004,318000,3,2,53.0,6000.0,8,T3
Lyon 8,1288016376,200000,3,2,60.0,3333.3333333333335,8,T3
Lyon 8,1289221612,220000,5,3,104.0,2115.3846153846152,8,T4+
Lyon 8,1288433695,149000,2,1,41.0,3634.1463414634145,8,T2
Lyon 8,1289211100,245000,3,2,68.0,3602.9411764705883,8,T3
Lyon 8,1288238211,229000,4,3,92.0,2489.1304347826085,8,T4+
Lyon 8,1286889642,349000,3,2,63.0,5539.68253968254,8,T3
Lyon 8,1289179016,281000,3,2,78.0,3602.5641025641025,8,T3
Lyon 8,1290147061,738000,5,4,130.0,5676.923076923077,8,T4+
Lyon 8,1286827271,639000,4,3,110.0,5809.090909090909,8,T4+
Lyon 8,1285570827,491500,4,3,81.0,6067.901234567901,8,T4+
Lyon 8,1285570826,432110,4,3,81.0,5334.691358024691,8,T4+
Lyon 8,1285570831,525600,4,3,91.0,5775.824175824176,8,T4+
Lyon 8,1285570830,462090,4,3,91.0,5077.912087912088,8,T4+
Lyon 8,1285570828,525000,4,3,111.0,4729.72972972973,8,T4+
Lyon 8,1285570829,597156,4,3,111.0,5379.783783783784,8,T4+
Lyon 8,1289132649,185000,2,1,44.0,4204.545454545455,8,T2
Lyon 8,1285792749,167000,4,3,68.0,2455.8823529411766,8,T4+
Lyon 8,1289085164,210000,4,3,87.0,2413.793103448276,8,T4+
Lyon 8,1289083389,215000,3,2,55.0,3909.090909090909,8,T3
Lyon 8,1289083390,220000,5,3,114.0,1929.8245614035088,8,T4+
Lyon 8,1288199001,198000,2,1,59.0,3355.9322033898306,8,T2
Lyon 8,1289060074,210000,3,2,52.0,4038.4615384615386,8,T3
Lyon 8,1284933635,72000,1,1,19.0,3789.4736842105262,8,Studio/T1
Lyon 8,1290147046,410000,4,3,85.0,4823.529411764706,8,T4+
Lyon 8,1289027387,300000,4,3,76.0,3947.3684210526317,8,T4+
Lyon 8,1289000390,270000,4,3,95.0,2842.1052631578946,8,T4+
Lyon 8,1287792994,170000,2,1,32.0,5312.5,8,T2
Lyon 8,1287737972,330000,3,2,78.0,4230.7692307692305,8,T3
Lyon 8,1286600691,98000,1,1,18.0,5444.444444444444,8,Studio/T1
Lyon 8,1288149132,235000,5,4,105.0,2238.095238095238,8,T4+
Lyon 8,1286857790,177000,2,1,45.0,3933.3333333333335,8,T2
Lyon 8,1284716299,189000,4,2,88.0,2147.7272727272725,8,T4+
Lyon 8,1288530202,295000,4,3,86.0,3430.232558139535,8,T4+
Lyon 8,1285935834,395000,5,4,125.0,3160.0,8,T4+
Lyon 8,1288174134,209000,3,2,66.0,3166.6666666666665,8,T3
Lyon 8,1288006311,179000,3,2,73.0,2452.054794520548,8,T3
Lyon 8,1287997024,72000,1,1,18.0,4000.0,8,Studio/T1
Lyon 8,1287331526,270000,4,3,75.0,3600.0,8,T4+
Lyon 8,1287264353,199000,4,3,67.0,2970.1492537313434,8,T4+
Lyon 8,1281831934,164000,4,3,68.0,2411.764705882353,8,T4+
Lyon 8,1290202548,425000,4,3,78.0,5448.717948717948,8,T4+
Lyon 8,1290192072,299000,3,2,59.0,5067.796610169492,8,T3
Lyon 8,1290190902,220000,2,1,41.0,5365.8536585365855,8,T2
Lyon 8,1290186791,292000,3,2,63.0,4634.920634920635,8,T3
Lyon 8,1290165535,289000,2,1,43.0,6720.930232558139,8,T2
Lyon 8,1290165536,359000,3,2,63.0,5698.412698412699,8,T3
Lyon 8,1290165532,294000,2,1,44.0,6681.818181818182,8,T2
Lyon 8,1290165531,217000,1,1,32.0,6781.25,8,Studio/T1
Lyon 8,1287715296,149000,4,3,65.0,2292.3076923076924,8,T4+
Lyon 8,1288897854,170000,3,2,65.0,2615.3846153846152,8,T3
Lyon 8,1286600521,255000,3,2,60.0,4250.0,8,T3
Lyon 8,1289494466,365000,4,3,80.0,4562.5,8,T4+
Lyon 8,1287911620,246500,3,2,52.0,4740.384615384615,8,T3
Lyon 9,1288162519,300000,3,2,72.0,4166.666666666667,9,T3
Lyon 9,1287970519,629000,5,4,120.0,5241.666666666667,9,T4+
Lyon 9,1289578059,249000,2,1,55.0,4527.272727272727,9,T2
Lyon 9,1289258458,178000,2,1,46.0,3869.5652173913045,9,T2
Lyon 9,1289260051,225000,3,1,58.0,3879.310344827586,9,T3
Lyon 9,1289135873,280000,3,2,62.0,4516.129032258064,9,T3
Lyon 9,1289862426,359000,4,3,84.0,4273.809523809524,9,T4+
Lyon 9,1282019899,195000,2,1,45.0,4333.333333333333,9,T2
Lyon 9,1289405164,165000,2,1,30.0,5500.0,9,T2
Lyon 9,1289967723,275000,3,2,73.0,3767.123287671233,9,T3
Lyon 9,1288585080,250000,4,3,82.0,3048.7804878048782,9,T4+
Lyon 9,1289438142,256000,2,1,49.0,5224.489795918367,9,T2
Lyon 9,1289542729,109000,1,1,19.0,5736.8421052631575,9,Studio/T1
Lyon 9,1287945656,196000,4,3,71.0,2760.56338028169,9,T4+
Lyon 9,1289375795,249000,4,3,84.0,2964.285714285714,9,T4+
Lyon 9,1289510323,290000,3,2,65.0,4461.538461538462,9,T3
Lyon 9,1290041185,375000,4,3,77.0,4870.12987012987,9,T4+
Lyon 9,1288749812,310000,3,2,66.0,4696.969696969697,9,T3
Lyon 9,1290105440,128000,2,1,31.0,4129.032258064516,9,T2
Lyon 9,1290079381,595000,5,4,135.0,4407.407407407408,9,T4+
Lyon 9,1288313670,300000,3,2,68.0,4411.764705882353,9,T3
Lyon 9,1289646029,140000,2,1,33.0,4242.424242424242,9,T2
Lyon 9,1288749715,228000,2,1,44.0,5181.818181818182,9,T2
Lyon 9,1288749807,249000,4,3,72.0,3458.3333333333335,9,T4+
Lyon 9,1288297642,162000,4,3,65.0,2492.3076923076924,9,T4+
Lyon 9,1290033199,220000,6,5,111.0,1981.981981981982,9,T4+
Lyon 9,1286823016,267000,4,3,109.0,2449.5412844036696,9,T4+
Lyon 9,1287643309,199000,4,3,70.0,2842.8571428571427,9,T4+
Lyon 9,1289902345,185000,2,1,35.0,5285.714285714285,9,T2
Lyon 9,1285903297,299900,5,3,106.0,2829.245283018868,9,T4+
Lyon 9,1289996092,190000,4,3,74.0,2567.5675675675675,9,T4+
Lyon 9,1289083294,241000,3,1,65.0,3707.6923076923076,9,T3
Lyon 9,1289083296,328000,5,4,103.0,3184.4660194174758,9,T4+
Lyon 9,1289083295,296900,4,3,84.0,3534.5238095238096,9,T4+
Lyon 9,1289085330,295000,3,2,64.0,4609.375,9,T3
Lyon 9,1289974983,215000,3,2,57.0,3771.9298245614036,9,T3
Lyon 9,1290009531,284500,4,3,83.0,3427.710843373494,9,T4+
Lyon 9,1285593649,82000,1,1,18.0,4555.555555555556,9,Studio/T1
Lyon 9,1289952417,260000,6,5,112.0,2321.4285714285716,9,T4+
Lyon 9,1289943898,86710,1,1,18.0,4817.222222222223,9,Studio/T1
Lyon 9,1288753835,240000,4,3,84.0,2857.1428571428573,9,T4+
Lyon 9,1288390011,640000,6,4,212.0,3018.867924528302,9,T4+
Lyon 9,1289661561,79890,1,1,19.0,4204.736842105263,9,Studio/T1
Lyon 9,1289907062,430000,3,2,72.0,5972.222222222223,9,T3
Lyon 9,1289907033,720000,5,4,105.0,6857.142857142857,9,T4+
Lyon 9,1284967931,119000,2,1,32.0,3718.75,9,T2
Lyon 9,1289627780,149000,2,1,42.0,3547.6190476190477,9,T2
Lyon 9,1288694124,210000,3,2,65.0,3230.769230769231,9,T3
Lyon 9,1288671998,270000,3,2,72.0,3750.0,9,T3
Lyon 9,1289880071,169000,2,1,58.0,2913.793103448276,9,T2
Lyon 9,1289714957,285000,3,2,65.0,4384.615384615385,9,T3
Lyon 9,1290139659,325000,7,5,135.0,2407.4074074074074,9,T4+
Lyon 9,1290205317,399000,5,4,107.0,3728.9719626168226,9,T4+
Lyon 9,1288653132,142500,2,1,39.0,3653.846153846154,9,T2
Lyon 9,1289045500,308000,3,2,71.0,4338.028169014085,9,T3
Lyon 9,1288096513,299000,3,2,79.0,3784.8101265822784,9,T3
Lyon 9,1289822486,145000,2,1,36.0,4027.777777777778,9,T2
Lyon 9,1287071020,299000,3,2,65.0,4600.0,9,T3
Lyon 9,1287680472,259000,5,4,94.0,2755.31914893617,9,T4+
Lyon 9,1288576019,219000,5,4,85.0,2576.470588235294,9,T4+
Lyon 9,1289730172,500000,4,2,89.0,5617.9775280898875,9,T4+
Lyon 9,1289707588,165000,2,1,50.0,3300.0,9,T2
Lyon 9,1289694828,279000,3,2,81.0,3444.4444444444443,9,T3
Lyon 9,1290063149,400000,3,2,72.0,5555.555555555556,9,T3
Lyon 9,1289690177,349000,4,3,105.0,3323.809523809524,9,T4+
Lyon 9,1290205314,415000,3,2,78.0,5320.51282051282,9,T3
Lyon 9,1289685995,330000,3,2,61.0,5409.836065573771,9,T3
Lyon 9,1289274616,240000,3,2,72.0,3333.3333333333335,9,T3
Lyon 9,1288424427,182300,3,2,75.0,2430.6666666666665,9,T3
