search_city,listing_id,price,listing_rooms,listing_bedrooms,area_sqm
Lyon 3,1288746025,150 000 €,2,1,42
Lyon 3,1284054192,150 000 €,1,,16
Lyon 3,1283617278,78 000 €,1,,18
Lyon 3,1287793974,189 000 €,3,2,52
Lyon 3,1289617843,255 000 €,3,2,68
Lyon 3,1290151699,208 000 €,2,2,39
Lyon 3,1288528387,240 000 €,4,3,68
Lyon 3,1289598979,377 000 €,3,2,79
Lyon 3,1289598237,910 000 €,6,5,153
Lyon 3,1289598120,210 000 €,2,1,35
Lyon 3,1289596962,161 500 €,1,,22
Lyon 3,1289596271,79 000 €,1,1,18
Lyon 3,1289895892,997 000 €,5,4,123
Lyon 3,1289895887,1 030 000 €,4,3,100
Lyon 3,1289895891,1 306 000 €,5,4,116
Lyon 3,1289895886,885 000 €,4,3,99
Lyon 3,1289895884,1 013 000 €,4,3,91
Lyon 3,1289895885,779 000 €,4,3,93
Lyon 3,1289895884,1 013 000 €,4,3,91
Lyon 3,1282308109,449 000 €,3,2,71
Lyon 3,1282308117,925 000 €,5,4,122
Lyon 3,1282308108,459 000 €,3,2,71
Lyon 3,1282308115,820 000 €,4,3,103
Lyon 3,1289950322,399 000 €,3,2,93
Lyon 3,1288335744,370 000 €,4,2,70
Lyon 3,1289547001,360 000 €,4,3,87
Lyon 3,1289494461,440 000 €,3,2,72
Lyon 3,1289494459,375 000 €,3,2,64
Lyon 3,1289491390,320 000 € *,3,2,70
Lyon 3,1289538306,319 000 €,3,2,72
Lyon 3,1285852536,110 000 €,2,1,34
Lyon 3,1289483081,700 000 €,6,4,157
Lyon 3,1288259468,728 000 €,6,4,153
Lyon 3,1289454060,625 000 €,3,2,70
Lyon 3,1288234802,1 111 000 €,4,3,101
Lyon 3,1288234803,807 200 €,4,3,93
Lyon 3,1288234801,1 013 000 €,4,3,91
Lyon 3,1288234800,573 000 €,3,2,73
Lyon 3,1288234806,1 119 500 €,5,4,123
Lyon 3,1288234799,459 000 €,3,2,68
Lyon 3,1288234805,1 306 000 €,5,4,116
Lyon 3,1288234798,658 000 €,3,2,70
Lyon 3,1288234804,905 200 €,4,3,99
Lyon 3,1289440897,89 000 €,1,,19
Lyon 3,1289432706,208 000 €,2,1,48
Lyon 3,1288207350,115 000 €,1,,26
Lyon 3,1288041945,122 000 €,1,,18
Lyon 3,1289395020,580 000 €,5,4,135
Lyon 3,1289908915,520 000 €,3,2,62
Lyon 3,1289393234,225 000 €,2,1,50
Lyon 3,1289385884,196 000 €,2,1,39
Lyon 3,1289384046,541 000 €,4,3,92
Lyon 3,1290147152,430 000 €,3,2,70
Lyon 3,1290147080,820 000 €,4,3,120
Lyon 3,1289329220,596 000 €,4,3,111
Lyon 3,1289294333,175 000 €,2,1,32
Lyon 3,1289265289,375 000 €,4,3,95
Lyon 3,1288822338,235 000 €,3,2,74
Lyon 3,1284112610,994 000 €,5,4,146
Lyon 3,1290147079,493 000 €,4,3,90
Lyon 3,1289195714,315 000 €,3,2,65
Lyon 3,1287396012,360 000 €,3,2,88
Lyon 3,1289133747,250 000 €,2,1,52
Lyon 3,1290147115,1 240 000 €,5,4,120
Lyon 3,1287859178,128 000 €,1,1,31
Lyon 3,1290147143,800 000 €,4,3,100
Lyon 3,1287692336,169 000 €,2,1,40
Lyon 3,1290147081,230 000 €,1,1,35
Lyon 3,1289034679,111 000 €,1,,18
Lyon 3,1290009543,432 500 €,4,3,84
Lyon 3,1289024635,240 000 € *,3,2,56
Lyon 3,1286035754,410 000 €,4,3,107
Lyon 3,1289001141,658 000 €,3,2,70
Lyon 3,1289001143,885 000 €,4,3,99
Lyon 3,1289001142,459 000 €,3,2,67
Lyon 3,1288594657,555 € *,2,1,27
Lyon 3,1287086431,230 000 €,3,2,74
Lyon 3,1288442734,140 000 € *,1,,32
Lyon 3,1288134211,250 000 € *,3,2,68
Lyon 3,1287163822,394 000 €,4,3,93
Lyon 3,1284724953,330 000 €,4,3,120
Lyon 3,1282312459,317 000 €,3,2,73.16
Lyon 3,1286262424,295 000 €,3,2,62
Lyon 3,1283683128,160 000 €,3,,51
Lyon 3,1290192413,471 400 €,3,2,70
Lyon 3,1290165517,230 000 €,1,,34
Lyon 3,1290165514,395 000 €,3,2,65
Lyon 3,1290192432,537 000 €,4,3,90
Lyon 3,1287684840,200 000 €,3,1,61
Lyon 3,1287407626,190 000 €,2,1,41
Lyon 3,1288143668,215 000 €,3,2,59
Lyon 3,1289125730,510 000 €,4,3,103
Lyon 4,1289378197,1 390 000 €,3,2,94
Lyon 4,1288906888,525 000 €,3,2,83
Lyon 4,1287469394,199 000 €,2,1,41
Lyon 4,1289526951,583 100 €,3,2,68
Lyon 4,1289367634,460 000 €,3,2,103
Lyon 4,1286792008,199 500 €,1,1,29
Lyon 4,1289578204,455 000 €,4,2,96
Lyon 4,1290173477,185 000 €,2,1,45
Lyon 4,1286524377,340 000 €,3,1,68
Lyon 4,1289765005,860 000 €,5,4,158
Lyon 4,1286051889,215 000 €,2,1,41
Lyon 4,1286051891,215 000 €,3,2,49
Lyon 4,1290161636,185 000 €,2,1,45
Lyon 4,1284206575,399 000 €,3,2,102
Lyon 4,1290150281,380 000 €,4,3,84
Lyon 4,1287812260,427 000 € *,4,3,114
Lyon 4,1288304474,880 000 €,6,3,185
Lyon 4,1288749717,365 000 €,3,2,64
Lyon 4,1290161615,349 000 €,3,2,96
Lyon 4,1286481028,336 600 €,3,2,61
Lyon 4,1289674825,670 000 €,4,3,86
Lyon 4,1290049784,590 000 €,5,3,173
Lyon 4,1285444981,247 000 €,4,,65
Lyon 4,1288501780,199 000 €,2,1,41
Lyon 4,1286858273,650 000 €,4,2,121
Lyon 4,1289211104,750 000 €,6,5,192
Lyon 4,1288393068,299 000 €,3,2,77
Lyon 4,1290112384,239 000 €,3,2,57
Lyon 4,1288749820,185 000 €,1,,35
Lyon 4,1286532917,425 000 €,3,2,81
Lyon 4,1284112466,556 000 €,3,2,73
Lyon 4,1290147168,379 000 €,2,1,50
Lyon 4,1290147165,556 000 €,3,2,73
Lyon 4,1288451268,445 000 €,3,2,100
Lyon 4,1290042355,169 000 €,3,2,54
Lyon 4,1290049786,649 000 €,5,4,145
Lyon 4,1288828929,840 000 €,5,4,144
Lyon 4,1290012211,499 000 €,5,3,108
Lyon 4,1289501252,272 000 €,3,2,59
Lyon 4,1289859864,149 000 €,1,,33
Lyon 4,1288261294,299 000 €,2,1,81
Lyon 4,1289987164,499 000 €,4,3,100
Lyon 4,1289547653,239 000 €,2,1,43
Lyon 4,1290078258,394 000 €,4,3,76
Lyon 4,1289929352,289 000 €,2,1,54
Lyon 4,1289793811,420 000 €,3,2,70
Lyon 4,1289880699,369 000 €,4,2,81
Lyon 4,1289962043,325 000 €,2,1,50
Lyon 4,1283407723,565 000 €,3,2,68
Lyon 4,1289674827,1 360 000 €,5,4,131
Lyon 4,1289856288,749 000 €,4,3,136
Lyon 4,1289832150,262 000 €,2,1,53
Lyon 4,1289829612,295 000 €,3,2,71
Lyon 4,1289595371,339 000 €,3,2,61
Lyon 4,1289408688,337 000 €,3,2,87
Lyon 4,1289808387,379 000 €,2,,47
Lyon 4,1289785239,131 000 €,2,1,46
Lyon 4,1289785233,98 000 €,1,1,18
Lyon 4,1289745762,298 000 €,2,1,52
Lyon 4,1288617508,540 000 €,4,3,87
Lyon 4,1289704449,320 000 € *,3,2,90
Lyon 4,1281668959,295 000 €,4,2,82
Lyon 4,1290040905,315 000 €,4,3,69
Lyon 4,1288653138,310 000 €,3,2,64
Lyon 4,1288459913,59 980 €,2,1,46
Lyon 4,1289674826,1 390 000 €,5,4,128
Lyon 4,1289636664,424 000 €,2,,47
Lyon 4,1289631671,235 000 €,2,1,54
Lyon 4,1288411517,325 000 €,3,2,62
Lyon 4,1289599514,530 000 €,5,4,126
Lyon 4,1289598642,210 000 €,2,1,38
Lyon 4,1286333748,285 000 €,3,2,45
Lyon 4,1289443503,270 000 €,2,1,58
Lyon 4,1289392858,420 000 €,3,2,70
Lyon 4,1289416334,490 000 €,5,4,172
Lyon 4,1289340081,1 379 000 €,5,4,149
Lyon 4,1289671013,769 000 €,5,3,113
Lyon 4,1286332283,598 000 €,3,2,73
Lyon 4,1289135463,357 000 €,3,2,61
Lyon 4,1289133750,357 645 €,3,2,61
Lyon 4,1285147147,995 000 €,7,5,209
Lyon 4,1288899017,385 000 €,2,1,46
Lyon 4,1289112673,369 000 €,2,1,46
Lyon 4,1289094659,349 000 €,2,1,60
Lyon 4,1286600530,630 000 €,4,3,104
